amfi_code,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,scheme_name,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score,overall_rank
148567,0.33991970400445304,1.084999962538694,0.2698375144191807,-0.11265729075028275,1.46,Mirae Asset Large Cap Fund - Regular - Growth,2.0,1.0,7.0,23.0,8.0,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128204,85.89743589743588,1.0
120505,0.3176924285223732,0.8956082798051491,0.2926358334175106,-0.18188513572116294,1.36,ICICI Pru Midcap Fund - Regular - Growth,5.0,4.0,3.0,15.0,25.0,89.74358974358975,92.3076923076923,94.87179487179486,64.1025641025641,38.46153846153847,82.43589743589743,2.0
120843,0.2957511058901836,0.9805545676507985,0.27330465038306057,-0.1297396816518679,1.45,Kotak Flexicap Fund - Regular - Growth,7.0,2.0,5.0,22.0,13.0,84.61538461538461,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,81.53846153846153,3.0
100033,0.3243397122906222,0.8208532172619728,0.2719535450128533,-0.16217208574644848,1.38,HDFC Mid-Cap Opportunities Fund - Regular - Growth,4.0,7.0,6.0,17.0,20.0,92.3076923076923,84.61538461538461,87.17948717948718,58.97435897435898,51.28205128205128,80.25641025641023,4.0
120504,0.32478927222623,0.7312732912293519,0.2119482701352573,-0.12588275606922517,0.8,ICICI Pru Bluechip Fund - Direct - Growth,3.0,11.0,13.0,12.0,12.0,94.87179487179486,74.35897435897436,69.23076923076923,71.7948717948718,71.7948717948718,78.84615384615384,5.0
119094,0.35102527889035406,0.74282912823009,0.2607666908004223,-0.20960883862039192,1.38,Axis Midcap Fund - Regular - Growth,1.0,9.0,9.0,17.0,28.0,100.0,79.48717948717949,79.48717948717949,58.97435897435898,30.76923076923077,77.6923076923077,6.0
119551,0.3044861306002782,0.8783135031733819,0.23201007160635082,-0.1501238549864533,1.54,SBI Bluechip Fund - Regular Plan - Growth,6.0,5.0,10.0,30.5,17.0,87.17948717948718,89.74358974358975,76.92307692307693,24.358974358974358,58.97435897435898,73.52564102564104,7.0
148569,0.2917135767741186,0.9325272721144777,0.2827036785246582,-0.1639674294693263,1.6,Mirae Asset Tax Saver Fund - Regular - Growth,8.0,3.0,4.0,36.5,21.0,82.05128205128204,94.87179487179486,92.3076923076923,8.974358974358974,48.717948717948715,73.01282051282051,8.0
119598,0.2666309129954312,0.721173221018611,0.3033696538698332,-0.2870600572176455,1.43,SBI Small Cap Fund - Regular Plan - Growth,12.0,13.0,1.0,21.0,36.0,71.7948717948718,69.23076923076923,100.0,48.717948717948715,10.256410256410255,67.17948717948717,9.0
101206,0.28960211096593724,0.7337673599794888,0.21399784776051212,-0.11291596329323073,1.6,ABSL Frontline Equity Fund - Regular - Growth,9.0,10.0,12.0,36.5,9.0,79.48717948717949,76.92307692307693,71.7948717948718,8.974358974358974,79.48717948717949,66.73076923076923,10.0
149324,0.2699350260734621,0.7240192761274944,0.3005787817097677,-0.31171900300634214,1.52,DSP Small Cap Fund - Regular - Growth,10.0,12.0,2.0,26.5,37.0,76.92307692307693,71.7948717948718,97.43589743589743,34.61538461538461,7.6923076923076925,66.47435897435898,11.0
149323,0.26863103668817145,0.8463136055677694,0.26598577542043045,-0.17248105753451382,1.61,DSP Midcap Fund - Regular - Growth,11.0,6.0,8.0,38.0,22.0,74.35897435897436,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,65.8974358974359,12.0
118632,0.22646647456747715,0.7756928989672589,0.21829397904608644,-0.17414075086657232,1.51,Nippon India Large Cap Fund - Regular - Growth,14.0,8.0,11.0,24.5,23.0,66.66666666666666,82.05128205128204,74.35897435897436,39.743589743589745,43.58974358974359,65.7051282051282,13.0
119552,0.16263375081360643,0.6653393121505503,0.1986859936686296,-0.11803493502764295,0.66,SBI Bluechip Fund - Direct Plan - Growth,23.0,14.0,15.0,4.0,11.0,43.58974358974359,66.66666666666666,64.1025641025641,92.3076923076923,74.35897435897436,63.84615384615385,14.0
125497,0.18429918008610047,0.5225253768786159,0.17729754927531766,-0.15200013055606398,0.92,HDFC Top 100 Fund - Direct Plan - Growth,19.0,18.0,16.0,14.0,18.0,53.84615384615385,56.41025641025641,61.53846153846154,66.66666666666666,56.41025641025641,58.205128205128204,15.0
118633,0.21084691029380598,0.40586356946456337,0.15643835948169668,-0.18629743138595511,0.72,Nippon India Large Cap Fund - Direct - Growth,15.0,21.0,22.0,5.5,26.0,64.1025641025641,48.717948717948715,46.15384615384615,88.46153846153845,35.8974358974359,57.5,16.0
118635,0.2000321571698329,0.41155210380445095,0.1513635464823924,-0.1165062450540909,0.89,Nippon India ETF Nifty 50 BeES,17.0,20.0,23.0,13.0,10.0,58.97435897435898,51.28205128205128,43.58974358974359,69.23076923076923,76.92307692307693,57.30769230769231,17.0
102885,0.19662361245910964,0.5383665513052791,0.17048756803412696,-0.1085986215250232,1.57,UTI Nifty 50 Index Fund - Regular - Growth,18.0,16.0,19.0,34.0,7.0,56.41025641025641,61.53846153846154,53.84615384615385,15.384615384615385,84.61538461538461,53.84615384615385,18.0
